_id,_rev,deviceType,deviceId,eventType,format,timestamp,WS_sensorData_NO2,WS_sensorData_NO,WS_sensorData_NOX,WS_sensorData_StWd,WS_sensorData_WDS,WS_sensorData_WDD,WS_sensorData_ITemp,WS_sensorData_O3,WS_sensorData_SO2,WS_sensorData_Filter,WS_sensorData_PM2_5,WS_sensorData_PM10,WS_sensorData_O_Xyle,WS_sensorData_EthylB,WS_sensorData_BENZN,WS_sensorData_TOLUEN,WS_sensorData_TEMP,WS_sensorData_TOL,WS_sensorData_FILTER25,WS_sensorData_PM_10_25,WS_sensorData_BP,WS_sensorData_PREC,WS_sensorData_SR,WS_sensorData_CO,WS_sensorData_RH,WS_sensorData_NO2_TRAFIC,WS_sensorData_NO_TRAFIC,WS_sensorData_NOX_TRAFIC,WS_sensorData_CO_TRAFIC,WSV2_sensorData_BENZN,WSV2_sensorData_TOLUEN,date,time
774cb680-c740-11e7-ad52-afff43ebfbca,1-8ea6b3e757214b7fe7e148980677bddd,WS,Kiryat-Binyamin,sensorData,json,2017-11-11T16:28:55.144-08:00,7,0,7,29.54,1.2,308,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:55.144-08:00
77539450-c740-11e7-a9dd-914287fc516e,1-97cbd77ada0151d83dd81e99c1cf97ff,WS,Kiryat-Ata,sensorData,json,2017-11-11T16:28:55.189-08:00,4.4,-2.1,1.2,22.15,1.8,311,23.3,82.8,0,52,21.7,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:55.189-08:00
775f7b30-c740-11e7-b396-8b80b3cfc651,1-8d21ede6a267178f86afa207c8c074c4,WS,Neve-Shaanan,sensorData,json,2017-11-11T16:28:55.267-08:00,5.4,0.4,6.1,,1.6,3,,,-0.8,44,,16.6,0,-0.5,-0.07,0,,,,,,,,,,,,,,,,2017-11-11,16:28:55.267-08:00
776324b0-c740-11e7-8b57-e994f8ea70af,1-24a9706e65d8de7f358774a4458b1d1b,WS,Daliat-el-Carmel,sensorData,json,2017-11-11T16:28:55.291-08:00,6.1,0.3,6.5,14.97,1.6,316,,,0.4,,16.6,,-0.2,0,-0.27,,25.1,0,,,,,,,,,,,,,,2017-11-11,16:28:55.291-08:00
776f80c0-c740-11e7-8b57-e994f8ea70af,1-ca29b63b49679ef78247d7f59c5e6dcb,WS,Igud,sensorData,json,2017-11-11T16:28:55.372-08:00,5.1,3.7,10.8,19.74,1.9,283,22.2,69.4,0,19,12.8,23.3,,,,,25.8,,44,10.5,1003,0,7.7,,,,,,,,,2017-11-11,16:28:55.372-08:00
7775e960-c740-11e7-b396-8b80b3cfc651,1-a0bc2dc084833870ba3ef4b5b2e0e99d,WS,Ahuza,sensorData,json,2017-11-11T16:28:55.414-08:00,30.4,4.8,37.9,,,,25.6,55.7,0.2,14,16.7,30.4,,,,,24.5,,2,13.6,1004,0,,-0.04,,,,,,,,2017-11-11,16:28:55.414-08:00
7778cf90-c740-11e7-ad52-afff43ebfbca,1-5eae7e630e7fdec62c26503c8f1cab7a,WS,Kiryat-Motzkin,sensorData,json,2017-11-11T16:28:55.433-08:00,11,0,10,10.33,3.9,326,27.3,79,0.7,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:55.433-08:00
777c2af0-c740-11e7-a297-b5cc7e104dd1,1-ddf5b351ef67c10cea673dd3c0f6ab31,WS,Shprintsak,sensorData,json,2017-11-11T16:28:55.455-08:00,20.8,-0.1,20.5,,1.4,348,21.4,70.6,2.1,5,11.2,27.5,,,,,24.3,,40,16.3,984,0,51.8,0.26,77,,,,,,,2017-11-11,16:28:55.455-08:00
778552b0-c740-11e7-ae37-617ddee8b477,1-08c34fdea1aaa1d6ca934ffe19b456a4,WS,Kiryat-Yam,sensorData,json,2017-11-11T16:28:55.515-08:00,8.4,0,8.4,11.93,0.7,280,26.6,,0.7,,,,,,,,24.9,,,,,,,,59,,,,,,,2017-11-11,16:28:55.515-08:00
779223f0-c740-11e7-8ea3-bdeefb14cb95,1-bee63f38866f6617f0be092825fa4a9d,WS,Kiryat-Bialik,sensorData,json,2017-11-11T16:28:55.599-08:00,9.1,-0.7,7.9,17.88,1.1,49,26.9,86.1,0.1,17,21.7,28,0,0,-0.28,0.3,25.8,,30,,,0,,,64,15,0,16,0.26,,,2017-11-11,16:28:55.599-08:00
